Date,Symbol,Open,High,Low,Last,Close
2020-11-25,ABB,1077.7,1085,1011.5,1029,1025.5
2020-11-26,ABB,1033.95,1086.4,1030.3,1076.65,1076.95
2020-11-27,ABB,1092,1104.85,1061,1069,1073.75
2020-12-01,ABB,1081.15,1145,1073.85,1125.4,1138.05
2020-12-02,ABB,1142,1200,1116.05,1182.15,1190.8
2020-12-03,ABB,1182.15,1238.95,1170,1172,1172
2020-12-04,ABB,1184,1197.65,1150,1164,1154.45
2020-12-07,ABB,1174,1174,1140,1150,1154.95
2020-12-08,ABB,1165,1190,1148,1152,1154.8
2020-12-09,ABB,1162.95,1177,1152,1157.25,1155.15
2020-12-10,ABB,1167.25,1186.8,1144.2,1159.7,1158.8
2020-12-11,ABB,1167.2,1183.4,1152,1175,1176.2
2020-12-14,ABB,1180,1180,1155,1157.9,1161.4
2020-12-15,ABB,1159,1166.55,1151.15,1155,1154.35
2020-12-16,ABB,1159.3,1206.75,1157.65,1195.75,1194.9
2020-12-17,ABB,1203.95,1239.8,1195.75,1237.8,1232.7
2020-12-18,ABB,1244.4,1260,1201.05,1240.5,1246.95
2020-12-21,ABB,1244.5,1254.9,1181,1203.2,1215.3
2020-12-22,ABB,1214,1225,1157.2,1190.05,1185.65
2020-12-23,ABB,1197,1236.85,1190.25,1200,1201
2020-12-24,ABB,1218,1230,1200,1213,1206.55
2020-12-28,ABB,1221.35,1228,1212,1218.75,1217.55
2020-12-29,ABB,1223.2,1227.9,1190,1195.1,1203.05
2020-12-30,ABB,1205.7,1239.9,1201.25,1205.3,1208.9
2020-12-31,ABB,1214,1217.9,1202.2,1211,1212.05
2021-01-01,ABB,1212,1238.5,1212,1236.05,1232.7
2021-01-04,ABB,1239.1,1290,1235,1262,1262.9
2021-01-05,ABB,1259.5,1305,1225,1288.5,1293.6
2021-01-06,ABB,1295,1316,1291,1305,1297.65
2021-01-07,ABB,1302,1316.9,1291.25,1300.45,1302.65
2021-01-08,ABB,1307.55,1330,1300,1311.1,1315
2021-01-11,ABB,1314,1314,1288,1288,1296.9
2021-01-12,ABB,1288,1301,1265,1269.9,1269.3
2021-01-13,ABB,1277.8,1294,1265,1276,1280.5
2021-01-14,ABB,1284.05,1298.65,1265.1,1270,1274.4
2021-01-15,ABB,1279.4,1293,1260,1287,1284.65
2021-01-18,ABB,1291,1349.4,1286.7,1343,1344.5
2021-01-19,ABB,1344,1419,1343,1396,1391.25
2021-01-20,ABB,1392,1408.25,1373,1399,1393.1
