Date,Open,High,Low,Last,Close,Volume
2020-07-07,363.0,378.0,362.1,374.6,376.05,46031349.0
2020-07-08,377.9,379.0,367.55,368.6,368.95,46317703.0
2020-07-09,373.45,376.0,365.3,371.75,370.35,35144717.0
2020-07-10,364.9,368.2,359.0,359.9,360.35,27865749.0
2020-07-13,364.1,367.0,352.5,354.15,353.6,32379950.0
2020-07-14,351.5,352.45,340.6,346.05,345.55,34033233.0
2020-07-15,349.5,356.8,343.75,347.9,345.8,30442572.0
2020-07-16,347.95,348.6,341.0,344.85,344.65,35536953.0
2020-07-17,346.0,356.0,345.45,354.6,353.8,27511987.0
2020-07-20,358.0,366.35,355.25,362.1,363.0,36313319.0
2020-07-21,371.0,379.9,370.05,378.9,378.8,45560259.0
2020-07-22,386.9,389.5,375.3,381.8,381.1,45500596.0
2020-07-23,382.55,395.65,378.85,394.8,392.25,37838253.0
2020-07-24,388.3,388.7,372.15,382.5,381.8,52981627.0
2020-07-27,385.0,385.8,356.6,358.7,358.5,73276759.0
2020-07-28,361.1,362.75,343.2,352.15,352.1,125940299.0
2020-07-29,353.2,357.65,348.2,351.2,351.05,50196627.0
2020-07-30,353.4,354.6,340.4,345.4,344.95,40820799.0
2020-07-31,346.45,353.0,342.05,347.2,346.8,37345608.0
2020-08-03,346.8,349.35,340.5,343.75,343.25,32120023.0
2020-08-04,347.0,353.2,344.2,351.4,351.0,30813885.0
2020-08-05,353.4,360.0,350.75,353.05,352.2,37058091.0
2020-08-06,353.45,363.75,348.6,359.5,358.75,48022799.0
2020-08-07,359.45,359.65,353.15,358.1,357.95,28512323.0
2020-08-10,359.5,364.95,357.35,364.2,363.55,22857226.0
2020-08-11,370.0,374.3,364.05,366.45,367.35,45446756.0
2020-08-12,365.75,368.75,363.75,365.7,366.85,25706440.0
2020-08-13,368.95,372.35,366.25,368.3,368.05,26257725.0
2020-08-14,371.8,371.8,354.2,360.9,361.4,28893922.0
2020-08-17,366.0,366.35,354.35,361.15,360.2,24232602.0
2020-08-18,361.9,370.0,361.6,369.5,369.55,26517539.0
2020-08-19,374.0,375.85,370.4,375.0,374.45,35790626.0
2020-08-20,367.0,369.65,362.6,366.85,367.75,68447536.0
2020-08-21,370.0,373.0,367.05,371.3,371.15,34111143.0
2020-08-24,374.85,381.2,373.85,379.8,380.35,32907517.0
2020-08-25,382.5,389.8,381.4,385.55,386.35,53073080.0
2020-08-26,388.2,391.65,384.2,389.75,389.35,37164029.0
2020-08-27,389.95,397.45,387.6,392.9,392.2,36910773.0
2020-08-28,393.9,411.9,392.9,409.5,409.7,83472448.0
2020-08-31,414.85,422.0,387.5,392.4,394.6,72744912.0
2020-09-01,394.7,399.65,385.3,393.45,390.95,34872816.0
2020-09-02,387.25,394.0,381.1,392.55,392.4,31297334.0
2020-09-03,392.4,392.55,381.05,384.45,382.75,26135711.0
2020-09-04,375.0,379.95,368.35,375.0,372.55,33119184.0
